FOSL2	1.000000	1.500000	1.870829
FOS	1.000000	3.500000	4.183300
FOXA1	1.000000	15.500000	18.041619
FOXA2	1.000000	11.000000	12.845233
FOXA3	1.000000	22.500000	26.124701
FOXB1	1.000000	14.000000	16.309506
FOXC1	1.000000	11.500000	13.422618
FOXC2	1.000000	16.000000	18.618987
FOXD1	1.000000	10.000000	11.690452
FOXD2	1.000000	22.500000	26.124701
FOXD3	1.000000	4.000000	4.760952
FOXF1	1.000000	13.500000	15.732133
FOXF2	1.000000	6.500000	7.648529
FOXG1	1.000000	57.500000	66.539462
FOXH1	1.000000	1.500000	1.870829
FOXI1	1.000000	0.000000	0.000000
FOXJ2	1.000000	17.000000	19.773720
FOXJ3	1.000000	40.000000	46.332134
FOXJ3	1.000000	13.000000	15.154757
FOXK1	1.000000	23.000000	26.702060
FOXL1	1.000000	13.000000	15.154757
FOXM1	1.000000	50.000000	57.879185
FOXO1	1.000000	93.500000	108.108742
FOXO3	1.000000	49.500000	57.301832
FOXO4	1.000000	7.000000	8.225975
FOXO6	1.000000	8.000000	9.380832
FOXP2	1.000000	2.000000	2.449490
FOXP3	1.000000	7.000000	8.225975
FOXQ1	1.000000	3.500000	4.183300
FUBP1	1.000000	51.500000	59.611241
GABP1	1.000000	8.500000	9.958246
GABPA	1.000000	24.000000	27.856777
GATA1	1.000000	5.000000	5.916080
GATA1	1.000000	5.000000	5.916080
GATA2	1.000000	10.000000	11.690452
GATA3	1.000000	4.500000	5.338539
GATA4	1.000000	4.500000	5.338539
GATA5	1.000000	5.500000	6.493587
GATA6	1.000000	11.000000	12.845233
GATA6	1.000000	14.000000	16.309506
GBX1	1.000000	13.000000	15.154757
GBX2	1.000000	36.000000	41.713307
GCM1	1.000000	8.000000	9.380832
GCM2	nan	nan	nan
GCR	1.000000	1.000000	1.290994
GCR	1.000000	14.500000	16.886879
GFI1B	1.000000	2.000000	2.449490
GFI1	1.000000	3.000000	3.605551
GLI1	1.000000	1.000000	1.290994
GLI2	1.000000	1.000000	1.290994
GLI3	1.000000	4.000000	4.760952
GLIS1	1.000000	11.500000	13.422618
GLIS2	1.000000	8.500000	9.958246
GLIS3	1.000000	5.000000	5.916080
GMEB2	1.000000	1.000000	1.290994
GRHL1	1.000000	0.500000	0.707107
GSC2	1.000000	7.000000	8.225975
GSC	1.000000	0.500000	0.707107
GSX1	1.000000	13.500000	15.732133
GSX2	1.000000	6.500000	7.648529
HAND1	1.000000	3.500000	4.183300
HBP1	1.000000	2.500000	3.027650
HEN1	1.000000	15.000000	17.464249
HES1	1.000000	15.000000	17.464249
HES5	1.000000	4.500000	5.338539
HES7	1.000000	0.000000	0.000000
HESX1	1.000000	9.000000	10.535654
HEY1	1.000000	5.000000	5.916080
HEY2	1.000000	9.500000	11.113055
HIC1	1.000000	9.000000	10.535654
HIC2	1.000000	8.000000	9.380832
HIF1A	1.000000	9.000000	10.535654
HINFP	1.000000	4.500000	5.338539
HLF	1.000000	0.000000	0.000000
HLTF	1.000000	3.500000	4.183300
HMBX1	1.000000	2.000000	2.449490
HME1	1.000000	10.500000	12.267844
HME2	1.000000	69.500000	80.395895
HMGA1	1.000000	57.000000	65.962110
HMGA2	1.000000	2.000000	2.449490
HMX1	1.000000	35.000000	40.558600
HMX2	1.000000	10.000000	11.690452
HMX3	1.000000	5.500000	6.493587
HNF1A	1.000000	6.000000	7.071068
HNF1B	1.000000	4.000000	4.760952
HNF4A	1.000000	6.000000	7.071068
HNF4G	1.000000	1.500000	1.870829
HNF6	1.000000	14.500000	16.886879
HOMEZ	1.000000	2.500000	3.027650
HSF1	1.000000	0.000000	0.000000
HSF2	1.000000	0.000000	0.000000
HSF4	nan	nan	nan
HSFY1	1.000000	3.000000	3.605551
HTF4	1.000000	43.500000	50.373604
HXA10	1.000000	7.000000	8.225975
HXA11	1.000000	26.500000	30.743563
HXA13	1.000000	5.000000	5.916080
HXA1	1.000000	0.000000	0.000000
HXA2	1.000000	10.000000	11.690452
HXA5	1.000000	1.500000	1.870829
HXA7	1.000000	8.000000	9.380832
HXA9	1.000000	0.000000	0.000000
HXB13	1.000000	6.500000	7.648529
HXB1	nan	nan	nan
HXB2	1.000000	0.000000	0.000000
HXB3	1.000000	10.500000	12.267844
HXB6	1.000000	4.000000	4.760952
HXB7	1.000000	0.500000	0.707107
HXB8	1.000000	1.500000	1.870829
HXC10	1.000000	62.500000	72.312977
HXC11	1.000000	4.000000	4.760952
HXC12	1.000000	17.500000	20.351085
HXC13	1.000000	7.000000	8.225975
HXC6	1.000000	48.500000	56.147128
HXC8	1.000000	5.000000	5.916080
HXD10	1.000000	6.000000	7.071068
HXD11	1.000000	24.500000	28.434134
HXD12	1.000000	65.000000	75.199734
HXD13	1.000000	4.500000	5.338539
HXD3	1.000000	7.000000	8.225975
HXD4	1.000000	16.000000	18.618987
HXD8	1.000000	2.500000	3.027650
HXD9	1.000000	15.000000	17.464249
ID4	1.000000	11.000000	12.845233
IKZF1	1.000000	21.500000	24.969982
INSM1	1.000000	6.000000	7.071068
IRF1	1.000000	32.000000	37.094474
IRF2	1.000000	4.000000	4.760952
IRF3	1.000000	42.000000	48.641546
IRF4	1.000000	26.000000	30.166206
IRF5	1.000000	35.000000	40.558600
IRF7	1.000000	8.500000	9.958246
IRF8	1.000000	12.500000	14.577380
IRF9	1.000000	3.500000	4.183300
IRX2	1.000000	76.500000	88.478811
IRX3	1.000000	17.500000	20.351085
ISL1	1.000000	3.000000	3.605551
ISL2	1.000000	8.500000	9.958246
ISX	1.000000	6.000000	7.071068
ITF2	1.000000	16.000000	18.618987
JDP2	1.000000	2.500000	3.027650
JUNB	1.000000	3.500000	4.183300
JUND	1.000000	3.500000	4.183300
JUN	1.000000	4.000000	4.760952
KAISO	1.000000	7.500000	8.803408
KAISO	1.000000	5.000000	5.916080
KLF12	1.000000	9.500000	11.113055
KLF13	1.000000	26.500000	30.743563
KLF14	1.000000	16.000000	18.618987
KLF15	1.000000	66.000000	76.354437
KLF16	1.000000	108.500000	125.429263
KLF1	1.000000	11.500000	13.422618
KLF3	1.000000	6.500000	7.648529
KLF4	1.000000	60.000000	69.426220
KLF6	1.000000	41.000000	47.486840
KLF8	1.000000	2.500000	3.027650
LBX2	1.000000	2.500000	3.027650
LEF1	1.000000	12.000000	14.000000
LHX2	1.000000	8.000000	9.380832
LHX3	1.000000	5.000000	5.916080
LHX4	1.000000	14.000000	16.309506
LHX6	1.000000	1.500000	1.870829
LHX8	1.000000	10.000000	11.690452
LHX9	1.000000	16.500000	19.196354
LMX1A	1.000000	74.000000	85.592056
LMX1B	1.000000	41.000000	47.486840
MAFA	1.000000	9.000000	10.535654
MAFB	1.000000	7.500000	8.803408
MAFF	1.000000	3.000000	3.605551
MAFG	1.000000	6.000000	7.071068
MAFG	1.000000	5.000000	5.916080
MAFK	1.000000	3.000000	3.605551
MAFK	1.000000	0.500000	0.707107
MAF	1.000000	0.500000	0.707107
MAX	1.000000	3.000000	3.605551
MAZ	0.315789	474.500000	548.049724
MBD2	1.000000	10.500000	12.267844
MCR	1.000000	5.500000	6.493587
MECP2	1.000000	113.000000	130.625419
MEF2A	1.000000	18.500000	21.505813
MEF2B	1.000000	1.500000	1.870829
MEF2C	1.000000	36.000000	41.713307
MEF2D	1.000000	13.500000	15.732133
MEIS1	1.000000	2.000000	2.449490
MEIS2	1.000000	1.500000	1.870829
MEIS3	1.000000	5.000000	5.916080
MEOX1	1.000000	4.500000	5.338539
